Product Name,Category,Review
Acer Aspire 5 A515-45-R74Z Slim Laptop.csv,Laptops,"['hardware failure','faulty hard drive','hard button','ridiculous stickers', 'lower graphics','low hours', 'low settings','significant problem', 'major troubles', 'inferior plastic']"
Acer Chromebook Spin 314.csv,Laptops,"['serious drawbacks', 'awkward bulk', 'poor choice', 'lower speeds', 'sluggish contraption', 'low latency','significant lag', 'minuscule lag']"
Acer Nitro 5.csv,Laptops,"['faulty hard disk', 'serious complaints',]"
Asus Scar 15.csv,Laptops,"['siren alarm','minor annoyances','thermal problems', 'broken laptop','loose port', 'annoying features','lower amperage', 'defective unit', 'poor flow', 'stupid software']"
ASUS TUF Gaming F15.csv,Laptops,"['costly expenditure', 'low environments', 'low quality']"
Lenovo IdeaPad Gaming 3.csv,Laptops,"['bad laptop','faulty system', 'more problems', 'minimal lag', 'lower settings']"
MSI Katana 15.csv,Laptops,"['faulty hard drive', 'hidden screw', 'lower price']"
MSI Pulse GL66.csv,Laptops,['weak side']
MSI Stealth 17.csv,Laptops,"['underlying problem', 'low hum', 'noisy environment', 'poor battery', 'poor software', 'dangerous charger', 'big problem']"
Black+Decker EM031MB11 Digital Microwave Oven.csv,Home Appliances,"['bad issue', 'wrong information']"
Frigidaire EFR751.csv,Home Appliances,"['worse shape', 'cosmetic damage']"
Galanz GLR18FS5S16 French Door Refrigerator.csv,Home Appliances,['visible problem']
"LG 6,000 BTU High Efficiency Window AC.csv",Home Appliances,"['low end', 'low level', 'bad sound']"
Ninja AF101 Air Fryer.csv,Home Appliances,"['greasy mess', 'dead nettle', 'dangerous machines', 'worse kicks','bad sense', 'wrong burner']"
Ninja CP307 Hot and Cold Brewed System.csv,Home Appliances,"['loose measurements', 'lower temperatures', 'wrong size']"
Panasonic Microwave Oven NN-SN966S.csv,Home Appliances,"['scary reviews', 'bad reviews', 'lower temperature']"
Philips 3000 Series Air Fryer.csv,Home Appliances,"['vile odor', 'aggressive email', 'unacceptable service']"
SAMSUNG 65-Inch Class QLED 4K UHD.csv,Home Appliances,"['bad sound', 'dead pixels', 'dead spots','visible defects', 'second lag', 'crappy system','defective product', 'defective screen']"
TOSHIBA Microwave Oven EM131A5C.csv,Home Appliances,"['dead buttons', 'poor visibility', 'odd noise','shattered glass']"
Apple iPhone 11 Pro.csv,Mobiles,"['Bad Battery life', 'Not woth the money']"
Asus ROG Phone 3 ZS661KS.csv,Mobiles,['Noisy Processor']
OnePlus 11 5G.csv,Mobiles,"['low conditions', 'dead screen']"
SAMSUNG Galaxy A53 5G.csv,Mobiles,"['earlier failure', 'dead processor']"
SAMSUNG Galaxy S20 FE 5G.csv,Mobiles,"['low spectrum', 'low settings','accidental protection', 'dead phone', 'poor signal', 'poor critical features']"
SAMSUNG Galaxy S22 Ultra.csv,Mobiles,"['broken features', 'poor design', 'poor coding', 'crappy display', 'BAD sound', 'annoying kid', 'inferior reader']"
Xiaomi Mi Lite 5G NE.csv,Mobiles,"['same failure', 'insane cameras']"
Xiaomi Redmi Note 8 Pro.csv,Mobiles,"['tough critic', 'anti system', 'only problems', 'real problem']"
Apple iPhone 12.csv,Mobiles,"['only downside', 'worst thing']"
Apple iPhone 13.csv,Mobiles,"['bad battery', 'cosmetic complaint']"
